nodes,throughput_rps,latency_avg_ms,p90_ms,p95_ms,speedup
1,47.025448978874216,4148.681141159058,4466.5889184,5777.933880249999,1.0
2,80.21040908435205,2432.343169363935,4464.002081500001,4535.03761025,1.70568087761131
3,100.4476588903347,1943.8428210991315,4488.062057400001,4665.50979,2.136027641872382
